fecha,empresa,operacion,campo,GOV,GSV,NSV
06-02-2022,GEOPARK,ENTREGA POR REMITENTE,JACANA ESTACION,13279.435076096848,13084.29526266296,13055.639374264963
06-02-2022,GEOPARK,ENTREGA POR REMITENTE,CHIRICOCA,223.6236918138994,220.33756667002856,219.85500581416042
06-02-2022,GEOPARK,ENTREGA POR REMITENTE,AZOGUE,221.35850520138516,218.10566672147453,217.6279939451366
06-02-2022,GEOPARK,ENTREGA POR REMITENTE,GUACO,169.5842623135612,167.09224054309,166.72629216749525
06-02-2022,GEOPARK,ENTREGA POR REMITENTE,TIGANA ESTACION,4113.007147125166,4052.5669670464986,4043.6914483883043
06-02-2022,PAREX,ENTREGA POR REMITENTE,JACANA ESTACION,16230.420648562816,15991.916432143618,15956.892568546067
06-02-2022,PAREX,ENTREGA POR REMITENTE,CHIRICOCA,252.969539901583,249.25218080174386,248.70629410837384
06-02-2022,PAREX,ENTREGA POR REMITENTE,AZOGUE,88.18991107555186,86.89397019437601,86.70366388728323
06-02-2022,PAREX,ENTREGA POR REMITENTE,TIGANA ESTACION,13205.136812970706,13011.088804204848,12982.593245122376
07-02-2022,GEOPARK,RECIBO POR REMITENTE TIGANA,CHIRICOCA,229.22,224.28,224.17
07-02-2022,PAREX,RECIBO POR REMITENTE TIGANA,AZOGUE,485.01,476.29,475.76
07-02-2022,PAREX,RECIBO POR REMITENTE TIGANA,CAPACHOS,245.09,237.98,237.6
07-02-2022,GEOPARK,DESPACHO POR REMITENTE,JACANA ESTACION,12596.922,12061.5525,12035.1375
07-02-2022,GEOPARK,DESPACHO POR REMITENTE,CHIRICOCA,229.22,224.28,224.17
07-02-2022,GEOPARK,DESPACHO POR REMITENTE,GUACO,55.729999999999905,55.14999999999993,54.69
07-02-2022,GEOPARK,DESPACHO POR REMITENTE,TIGANA ESTACION,4578.522474832532,4382.104073200856,4368.650000000003
07-02-2022,PAREX,DESPACHO POR REMITENTE,JACANA ESTACION,15396.238000000001,14741.897500000001,14709.612500000001
07-02-2022,PAREX,DESPACHO POR REMITENTE,AZOGUE,434.28,426.40999999999997,425.94
07-02-2022,PAREX,DESPACHO POR REMITENTE,CAPACHOS,245.09,237.98,237.6
07-02-2022,PAREX,DESPACHO POR REMITENTE,TIGANA ESTACION,13624.527525167468,13040.035926799143,12999.999999999998
07-02-2022,GEOPARK,ENTREGA POR REMITENTE,JACANA ESTACION,12226.32708588667,12042.960061084963,12020.91728580362
07-02-2022,GEOPARK,ENTREGA POR REMITENTE,CHIRICOCA,227.73115328704924,224.3157053164881,223.90513012074825
07-02-2022,GEOPARK,ENTREGA POR REMITENTE,GUACO,55.55880257513817,54.72554723539607,54.62538058751717
07-02-2022,GEOPARK,ENTREGA POR REMITENTE,TIGANA ESTACION,4438.050153042193,4371.489521483146,4363.4881862069315
07-02-2022,PAREX,ENTREGA POR REMITENTE,JACANA ESTACION,14943.288660528155,14719.173407992732,14692.232238204426
07-02-2022,PAREX,ENTREGA POR REMITENTE,AZOGUE,432.70646130653415,426.2168511509344,425.4367271429341
07-02-2022,PAREX,ENTREGA POR REMITENTE,CAPACHOS,241.37450158809344,237.75443450594452,237.31926179546682
07-02-2022,PAREX,ENTREGA POR REMITENTE,TIGANA ESTACION,13206.517342782887,13008.449699399318,12984.639744701464
08-02-2022,GEOPARK,RECIBO POR REMITENTE TIGANA,CHIRICOCA,255.09,248.72,248.59
08-02-2022,PAREX,RECIBO POR REMITENTE TIGANA,AZOGUE,504.46,495.95,495.38
08-02-2022,GEOPARK,DESPACHO POR REMITENTE,JACANA ESTACION,12998.142,12470.418000000001,12440.736
08-02-2022,GEOPARK,DESPACHO POR REMITENTE,CHIRICOCA,255.09,248.72,248.59
08-02-2022,GEOPARK,DESPACHO POR REMITENTE,TIGANA ESTACION,4452.409268270689,4262.736092884648,4250.077088739196
08-02-2022,PAREX,DESPACHO POR REMITENTE,JACANA ESTACION,15886.618,15241.622000000001,15205.344000000003
08-02-2022,PAREX,DESPACHO POR REMITENTE,AZOGUE,504.6,494.65,494.14
08-02-2022,PAREX,DESPACHO POR REMITENTE,TIGANA ESTACION,13618.900731729313,13038.733907115353,13000.012911260805
08-02-2022,GEOPARK,ENTREGA POR REMITENTE,JACANA ESTACION,12647.857003748217,12464.626729096284,12443.432243313337
08-02-2022,GEOPARK,ENTREGA POR REMITENTE,CHIRICOCA,252.72867879856696,249.0673830379525,248.64387616337666
08-02-2022,GEOPARK,ENTREGA POR REMITENTE,TIGANA ESTACION,4320.834978998017,4258.23877952384,4250.99819516985
08-02-2022,PAREX,ENTREGA POR REMITENTE,JACANA ESTACION,15458.491893470044,15234.543780006572,15208.63940849408
08-02-2022,PAREX,ENTREGA POR REMITENTE,AZOGUE,502.3667458124779,495.0889281723877,494.2470934766923
08-02-2022,PAREX,ENTREGA POR REMITENTE,TIGANA ESTACION,13216.445100073435,13024.977655043738,13002.830364977792
09-02-2022,GEOPARK,RECIBO POR REMITENTE TIGANA,CHIRICOCA,246.86,242.28,242.15
09-02-2022,GEOPARK,RECIBO POR REMITENTE TIGANA,AZOGUE,223.27,219.74,219.45
09-02-2022,PAREX,RECIBO POR REMITENTE TIGANA,CHIRICOCA,246.51,241.69,241.55
09-02-2022,PAREX,RECIBO POR REMITENTE TIGANA,AZOGUE,252.79,248.79,248.47
09-02-2022,PAREX,RECIBO POR REMITENTE TIGANA,CAPACHOS,246.08,238.62,238.28
09-02-2022,GEOPARK,DESPACHO POR REMITENTE,JACANA ESTACION,12701.763,12173.3685,12146.4675
09-02-2022,GEOPARK,DESPACHO POR REMITENTE,CHIRICOCA,246.86,242.28,242.15
09-02-2022,GEOPARK,DESPACHO POR REMITENTE,AZOGUE,172.12,168.89,168.5
09-02-2022,GEOPARK,DESPACHO POR REMITENTE,TIGANA ESTACION,7211.2924360405395,6898.321379289044,6870.246999999999
09-02-2022,PAREX,DESPACHO POR REMITENTE,JACANA ESTACION,15524.377,14878.561500000002,14845.682500000003
09-02-2022,PAREX,DESPACHO POR REMITENTE,CHIRICOCA,246.51,241.69,241.55
09-02-2022,PAREX,DESPACHO POR REMITENTE,AZOGUE,304.0000000000001,300.38,300.06000000000006
09-02-2022,PAREX,DESPACHO POR REMITENTE,CAPACHOS,246.08,238.62,238.28
09-02-2022,PAREX,DESPACHO POR REMITENTE,TIGANA ESTACION,15744.627563959459,15061.308620710957,15000.012999999999
09-02-2022,GEOPARK,ENTREGA POR REMITENTE,JACANA ESTACION,12353.838311765841,12174.367541225842,12150.258042262745
09-02-2022,GEOPARK,ENTREGA POR REMITENTE,CHIRICOCA,246.2841107666981,242.70621068288685,242.22556763387576
09-02-2022,GEOPARK,ENTREGA POR REMITENTE,AZOGUE,171.37671965388657,168.8870390256718,168.55258371384704
09-02-2022,GEOPARK,ENTREGA POR REMITENTE,TIGANA ESTACION,6987.539430694095,6886.027734154331,6872.3909946724425
09-02-2022,PAREX,ENTREGA POR REMITENTE,JACANA ESTACION,15099.135714380474,14879.782550387143,14850.3153849878
09-02-2022,PAREX,ENTREGA POR REMITENTE,CHIRICOCA,245.67386725457743,242.10483250237996,241.6253803921647
09-02-2022,PAREX,ENTREGA POR REMITENTE,AZOGUE,305.18278041154423,300.7492280714724,300.15363957968515
09-02-2022,PAREX,ENTREGA POR REMITENTE,CAPACHOS,242.3480401135198,238.8273214186177,238.3543599248396
09-02-2022,PAREX,ENTREGA POR REMITENTE,TIGANA ESTACION,15256.10102495937,15034.467542531658,15004.694046832605
